,Degsim
217,0.3692868160564075
218,0.19068357029886188
219,0.5206355563046114
220,0.4598587462531178
221,0.6341856242999576
222,0.4360958886777914
223,0.3748874324000132
224,0.30354303283157436
225,0.3353317079638534
226,0.47445412231626205
227,0.3363974089027292
228,0.5297170915062417
229,0.5101157600589274
230,0.45229111366822156
231,0.41511694977123154
232,0.46434861840846275
233,0.6259863236162192
234,0.38584714990509406
235,0.4537093697013746
236,0.4006369451359987
237,0.4347094243089792
238,0.48192257426610735
239,0.5395240800269345
240,0.5124863589244565
241,0.227435325905067
242,0.35224005857576945
243,0.49192831588024016
244,0.3254567888768375
245,0.4704899839763965
246,0.35868867013169436
247,0.42284923945629177
248,0.5055911090435186
249,0.41055098894899594
250,0.46891319789461117
251,0.4033043608290134
252,0.4300162460834637
253,0.5006450599938076
254,0.4299345886688556
255,0.4867303643798275
256,0.34668378948129264
257,0.5552334698716558
258,0.32385698045069866
259,0.38569297700330213
260,0.36929041897877657
261,0.44805445799834337
262,0.5173045263895795
263,0.4174673644739185
264,0.5331845914707329
265,0.44398966004543333
266,0.5362832731008828
267,0.5760868876526305
268,0.5428909034020594
269,0.3549397649265761
270,0.6137056197734796
271,0.42293641175578706
272,0.510388115980796
273,0.4461404558065027
274,0.5116565837784544
275,0.6393894651427564
276,0.4917417206242991
277,0.40444104948272114
278,0.4696148829804033
279,0.49777152487880844
280,0.5288857072803944
281,0.5198139319721435
282,0.35975629333194087
283,0.6139914848152075
284,0.3290394080826297
285,0.4551759217344002
286,0.39513503650601944
287,0.40203752370474194
288,0.41053401416628016
289,0.5495174359900614
290,0.5381422166805138
291,0.43467203390755005
292,0.6080962817825025
293,0.5208922974673766
294,0.4981015197265755
295,0.4477086917436031
296,0.5005269283429599
297,0.5311113070590167
298,0.5054680718367452
299,0.3157591110756666
300,0.5958825179057323
301,0.43742674395588776
302,0.6149948534073685
303,0.44441325781758073
304,0.5037086043365162
305,0.4092354883708521
306,0.49282439938211775
307,0.6198074033330934
308,0.42048673213780197
309,0.308875883926303
310,0.6029403347381489
311,0.5679277407912375
312,0.6234974342953346
313,0.4618847927813148
314,0.4159260344350808
315,0.38545156212014664
316,0.48290886023818824
317,0.44800538692998276
318,0.4575919091795956
319,0.48876514982826436
320,0.5214969297244867
321,0.3758349262748842
322,0.4110407925325236
323,0.4385604139956628
324,0.46563450624750613
325,0.5710493561985244
326,0.5459511597109494
327,0.566988873875007
328,0.3814000330750877
329,0.5130147585824182
330,0.29495280671577595
331,0.5268738426746059
332,0.2913425944134316
333,0.5216671322002951
334,0.4933898260410725
335,0.410666164409645
336,0.3400579779099512
337,0.4318232989179724
338,0.5780341505332088
339,0.3736071561966615
340,0.3832106782181589
341,0.43758465327410845
342,0.530177850196362
343,0.4718272399426736
344,0.5167020395041143
345,0.5271914327016507
346,0.5571948024725943
347,0.46410808017095634
348,0.375647201058818
349,0.4492781952032929
350,0.5263798850351332
351,0.45958209343819173
352,0.57630070160919
353,0.5231746157030593
354,0.37050197146086855
355,0.6132587786930153
356,0.48899643953590477
357,0.23150565784716756
358,0.4191415986882127
359,0.4259770929997826
360,0.4283399197691097
361,0.5160092657103579
362,0.5371583782380189
363,0.4486805306342482
364,0.41278433367171985
365,0.4668083014329392
366,0.5180954786160056
367,0.44861405291252715
368,0.24926005466416776
369,0.38855597131206243
370,0.41461313469737915
371,0.41789264819546323
372,0.5191262147527175
373,0.5376844549464042
374,0.27736305595408084
375,0.30485719334765615
376,0.35217730752742893
377,0.5971326406849375
378,0.5357690850453564
379,0.4954497632722343
380,0.38372732611614896
381,0.32371305490546864
382,0.413322309019741
383,0.5519219341527783
384,0.47760779033058026
385,0.4357453760680084
386,0.5453838285075406
387,0.397116276406911
388,0.5615477559459361
389,0.4110077742507863
390,0.4786146700525132
391,0.37090741257724524
392,0.5502597171707104
393,0.5638077726575224
